"","week_beginning","areauri","region","deaths"
"536",2020-06-01,"S08000017","Dumfries and Galloway",0
"537",2020-06-01,"S12000035","Argyll and Bute",0
"538",2020-06-01,"S12000050","North Lanarkshire",6
"539",2020-06-01,"S12000039","West Dunbartonshire",1
"540",2020-06-01,"S12000040","West Lothian",4
"541",2020-06-01,"S12000010","East Lothian",1
"542",2020-06-01,"S12000028","South Ayrshire",1
"543",2020-06-01,"S12000036","City of Edinburgh",8
"544",2020-06-01,"S12000047","Fife",3
"545",2020-06-01,"S12000030","Stirling",1
"546",2020-06-01,"S08000025","Orkney",0
"547",2020-06-01,"S12000021","North Ayrshire",3
"548",2020-06-01,"S12000033","Aberdeen City",6
